rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,gemini-3.1-flash-lite,67.8,70.8,0.0,100.0,33.0,3.1,0.24,2.07,189,False
2,glm-5.1,65.3,69.6,0.0,100.0,39.2,10.3,0.84,36.35,189,False
3,claude-opus-4.5,66.3,69.0,1.8,98.2,35.1,12.4,4.81,9.42,189,False
4,gemini-3.5-flash,69.6,68.8,1.8,98.2,30.9,5.2,2.22,9.23,189,False
5,gemma4-31b,65.7,68.5,0.0,100.0,39.2,5.2,0.09,22.45,189,False
6,gemini-3.1-pro,66.2,66.3,1.8,98.2,37.1,3.1,4.47,22.33,189,False
7,claude-opus-4.6,62.4,64.8,0.0,100.0,43.3,9.3,4.91,11.93,189,False
8,qwen3-235b-a22b,55.8,64.2,0.0,100.0,54.6,6.2,0.08,29.90,189,False
9,gpt-5.5,57.4,63.8,0.0,100.0,44.3,5.2,6.15,84.81,189,False
10,gemma4-26b-a4b,63.5,62.8,0.0,100.0,40.2,11.3,,12.78,189,False
11,claude-sonnet-4.5,59.4,61.9,1.8,98.2,45.4,13.4,2.92,12.28,189,False
12,qwen3.7-max,65.7,61.7,0.0,100.0,32.0,6.2,,12.72,189,False
13,claude-sonnet-4.6,56.3,61.0,0.0,100.0,50.5,9.3,3.06,12.26,189,False
14,kimi-k2.7-code,61.4,60.9,1.8,98.2,38.1,7.2,1.02,28.41,189,False
15,gemini-2.5-pro,60.2,60.8,0.0,100.0,41.2,23.7,2.02,15.88,189,False
16,grok-4.3-openrouter,63.2,60.6,3.6,96.4,35.1,7.2,,13.20,189,False
17,minimax-m3,59.3,60.6,1.8,98.2,41.2,4.1,,38.47,189,False
18,glm-5,57.2,60.5,0.0,100.0,43.3,7.2,0.66,38.56,189,False
19,nemotron-3-ultra-550b,59.5,60.3,1.8,98.2,37.1,7.2,0.56,54.03,189,False
20,grok-4.3,57.0,59.1,1.8,98.2,44.3,8.2,0.97,13.99,189,False
21,kimi-k2.6,59.6,58.2,1.8,98.2,35.1,5.2,1.11,77.60,189,False
22,deepseek-v4-pro,60.7,58.1,0.0,100.0,35.1,4.1,0.28,32.00,189,False
23,gpt-5-mini,47.6,58.1,0.0,100.0,64.9,6.2,0.38,21.15,189,False
24,deepseek-v3.1,53.5,57.1,0.0,100.0,52.6,9.3,0.16,18.10,189,False
25,gpt-5.4,48.3,57.0,0.0,100.0,47.4,0.0,2.37,7.35,189,False
26,deepseek-v3.2,54.4,56.9,1.8,98.2,50.5,6.2,0.16,47.04,189,False
27,qwen3.6-27b,63.7,56.8,7.3,92.7,27.8,3.1,,52.29,189,False
28,minimax-m2.7,53.5,56.7,3.6,96.4,44.3,2.1,0.28,20.03,189,False
29,nemotron-3-super-120b,50.6,56.4,0.0,100.0,50.5,6.2,0.13,38.22,189,False
30,gpt-5,51.9,56.0,0.0,100.0,45.4,3.1,1.95,27.99,189,False
31,deepseek-v4-flash,58.1,54.4,5.5,94.5,42.3,10.3,0.17,18.99,189,False
32,gemini-2.5-flash,52.3,53.7,0.0,100.0,53.6,18.6,0.35,3.00,189,False
33,llama-3.1-70b,49.7,53.4,1.8,98.2,59.8,30.9,0.20,13.79,189,False
34,qwen3.5-plus-20260420,63.7,52.8,7.3,92.7,23.7,7.2,0.50,45.82,189,False
35,grok-4.20,54.1,52.3,7.3,92.7,43.3,1.0,0.76,6.31,189,False
36,grok-4-openrouter,53.6,51.8,7.3,92.7,43.3,1.0,2.55,6.58,189,False
37,qwen35-397b,53.7,50.5,5.5,94.5,42.3,5.2,0.53,26.21,189,False
38,qwen3.6-max,65.4,50.1,12.7,87.3,22.7,8.2,2.94,95.29,189,False
39,mimo-v2-pro,61.2,49.7,5.5,94.5,30.9,16.5,0.69,9.85,189,False
40,qwen3.5-9b,53.7,49.0,10.9,89.1,38.1,4.1,0.05,25.04,189,False
41,devstral-small,44.1,47.6,5.5,94.5,71.1,10.3,0.07,1.55,189,False
42,qwen3.6-plus,60.3,47.5,9.1,90.9,26.8,3.1,1.67,41.64,189,False
43,gpt-5.4-mini,49.7,46.8,9.1,90.9,47.4,5.2,0.69,4.07,189,False
44,mercury-2,43.1,45.2,3.6,96.4,58.8,6.2,0.19,1.61,189,False
45,claude-haiku-4.5,55.6,42.8,10.9,89.1,37.1,11.3,0.99,6.00,189,False
46,mistral-nemo,35.6,29.0,9.1,90.9,67.0,20.6,0.01,5.45,189,False
