rank,model,cw_pct,balanced_ots,critical_miss,threat_capture,false_review,false_escalation,cost_per_run,avg_seconds_per_event,n,incomplete
1,gemini-3.1-flash-lite,67.3,70.3,0.0,100.0,33.0,3.1,0.24,2.08,189,False
2,claude-opus-4.5,65.8,68.6,1.8,98.2,35.1,12.4,4.74,9.68,189,False
3,gemma4-31b,65.6,68.4,0.0,100.0,37.1,6.2,0.09,15.65,189,False
4,glm-5.1,65.4,66.4,1.8,98.2,35.1,6.2,0.85,41.68,189,False
5,gemini-3.1-pro,65.6,66.1,1.8,98.2,37.1,3.1,4.44,22.53,189,False
6,gemini-3.5-flash,67.7,64.9,3.6,96.4,30.9,5.2,2.24,9.13,189,False
7,claude-opus-4.6,61.9,64.4,0.0,100.0,43.3,9.3,4.83,11.49,189,False
8,glm-5,62.3,64.0,1.8,98.2,38.1,9.3,0.55,38.46,189,False
9,qwen3-235b-a22b,55.4,63.7,0.0,100.0,54.6,6.2,0.08,29.82,189,False
10,gpt-5.5,56.3,62.9,0.0,100.0,44.3,5.2,5.57,62.11,189,False
11,qwen35-397b,55.6,62.0,0.0,100.0,46.4,3.1,0.68,45.17,189,False
12,kimi-k2.5,65.5,61.3,5.5,94.5,36.1,6.2,0.53,42.18,189,False
13,claude-sonnet-4.5,58.4,61.0,1.8,98.2,45.4,13.4,2.88,11.72,189,False
14,kimi-k2.6,61.8,60.7,3.6,96.4,35.1,3.1,1.29,60.73,189,False
15,claude-sonnet-4.6,55.5,60.3,0.0,100.0,50.5,8.2,3.01,12.08,189,False
16,deepseek-v3.2,53.0,59.2,0.0,100.0,54.6,11.3,0.22,69.70,189,False
17,deepseek-v4-pro,61.7,59.1,1.8,98.2,35.1,5.2,0.27,36.07,189,False
18,deepseek-v4-flash,62.4,59.0,3.6,96.4,34.0,9.3,0.17,27.89,189,False
19,gemini-2.5-pro,59.3,58.9,1.8,98.2,41.2,23.7,1.99,15.90,189,False
20,gpt-5-mini,47.2,58.1,0.0,100.0,67.0,6.2,0.37,21.28,189,False
21,deepseek-v3.1,52.9,56.9,0.0,100.0,52.6,9.3,0.16,18.87,189,False
22,nemotron-3-super-120b,51.2,56.8,0.0,100.0,48.5,5.2,0.13,39.30,189,False
23,gpt-5,52.0,56.5,0.0,100.0,47.4,4.1,1.92,27.77,189,False
24,grok-4-openrouter,60.4,55.6,7.3,92.7,36.1,11.3,5.89,22.87,189,False
25,gpt-5.4,48.0,55.6,1.8,98.2,47.4,0.0,2.33,7.47,189,False
26,grok-4.3,56.3,55.3,3.6,96.4,43.3,7.2,1.01,16.59,189,False
27,minimax-m2.7,52.6,54.6,3.6,96.4,43.3,2.1,0.27,20.44,189,False
28,grok-4.20,55.6,53.8,7.3,92.7,42.3,1.0,0.87,8.53,189,False
29,llama-3.1-70b,49.7,53.4,1.8,98.2,59.8,30.9,0.20,13.96,189,False
30,gemini-2.5-flash,51.9,52.4,1.8,98.2,53.6,18.6,0.35,3.04,189,False
31,minimax-m2.5,50.7,50.9,0.0,100.0,48.5,1.0,0.21,18.27,189,False
32,grok-4.1-fast,58.2,49.6,10.9,89.1,37.1,13.4,0.26,9.85,189,False
33,qwen3.5-plus-20260420,62.0,49.3,10.9,89.1,23.7,6.2,0.49,44.66,189,False
34,grok-4-fast,57.5,47.8,9.1,90.9,38.1,13.4,0.15,9.01,189,False
35,mimo-v2-pro,59.8,47.4,7.3,92.7,30.9,16.5,0.68,10.01,189,False
36,qwen3.5-9b,52.9,47.3,12.7,87.3,38.1,3.1,0.05,23.11,189,False
37,devstral-small,43.5,47.1,5.5,94.5,71.1,11.3,0.07,1.54,189,False
38,gpt-5.4-mini,49.4,46.9,10.9,89.1,47.4,4.1,0.68,4.21,189,False
39,mercury-2,43.4,45.6,3.6,96.4,57.7,6.2,0.19,1.67,189,False
40,qwen3.6-plus,58.5,43.9,12.7,87.3,27.8,3.1,1.64,41.29,189,False
41,claude-haiku-4.5,54.2,40.6,12.7,87.3,37.1,11.3,0.98,5.93,189,False
42,mistral-nemo,37.8,32.5,9.1,90.9,64.9,18.6,0.01,5.73,189,False
